,Company,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day
35,^GSPC,3645.8701171875,3760.199951171875,3633.39990234375,3756.070068359375,96375680000,0,0,2020,12,1
36,^GSPC,3764.610107421875,3870.89990234375,3662.7099609375,3714.239990234375,106117800000,0,0,2021,1,1
37,^GSPC,3731.169921875,3950.429931640625,3725.6201171875,3811.14990234375,99082320000,0,0,2021,2,1
38,^GSPC,3842.510009765625,3994.409912109375,3723.340087890625,3972.889892578125,122371150000,0,0,2021,3,1
39,^GSPC,3992.780029296875,4218.77978515625,3992.780029296875,4181.169921875,83124090000,0,0,2021,4,1
40,^GSPC,4191.97998046875,4238.0400390625,4056.8798828125,4204.10986328125,88321860000,0,0,2021,5,1
41,^GSPC,4216.52001953125,4302.43017578125,4164.39990234375,4297.5,102544180000,0,0,2021,6,1
42,^GSPC,4300.72998046875,4429.97021484375,4233.1298828125,4395.259765625,84255620000,0,0,2021,7,1
43,^GSPC,4406.85986328125,4537.35986328125,4367.72998046875,4522.68017578125,80500760000,0,0,2021,8,1
44,^GSPC,4528.7998046875,4545.85009765625,4305.91015625,4307.5400390625,85528860000,0,0,2021,9,1
45,^GSPC,4317.16015625,4608.080078125,4278.93994140625,4605.3798828125,80253600000,0,0,2021,10,1
46,^GSPC,4610.6201171875,4743.830078125,4560.0,4567.0,88268840000,0,0,2021,11,1
47,^GSPC,4602.81982421875,4808.93017578125,4495.1201171875,4766.18017578125,92750180000,0,0,2021,12,1
48,^GSPC,4778.14013671875,4818.6201171875,4222.6201171875,4515.5498046875,95562890000,0,0,2022,1,1
49,^GSPC,4519.56982421875,4595.31005859375,4114.64990234375,4373.93994140625,92667710000,0,0,2022,2,1
50,^GSPC,4363.14013671875,4637.2998046875,4157.8701171875,4530.41015625,123546260000,0,0,2022,3,1
51,^GSPC,4540.31982421875,4593.4501953125,4124.27978515625,4131.93017578125,90367840000,0,0,2022,4,1
52,^GSPC,4130.60986328125,4307.66015625,3810.320068359375,4132.14990234375,108860390000,0,0,2022,5,1
53,^GSPC,4149.77978515625,4177.509765625,3636.8701171875,3785.3798828125,106116710000,0,0,2022,6,1
54,^GSPC,3781.0,4140.14990234375,3721.56005859375,4130.2900390625,81688320000,0,0,2022,7,1
55,^GSPC,4112.3798828125,4325.27978515625,3954.530029296875,3955.0,92252350000,0,0,2022,8,1
56,^GSPC,3936.72998046875,4119.27978515625,3584.1298828125,3585.6201171875,94241020000,0,0,2022,9,1
57,^GSPC,3609.780029296875,3905.419921875,3491.580078125,3871.97998046875,95823760000,0,0,2022,10,1
58,^GSPC,3901.7900390625,4080.110107421875,3698.14990234375,4080.110107421875,92671910000,0,0,2022,11,1
59,^GSPC,4087.139892578125,4100.9599609375,3764.489990234375,3839.5,85249330000,0,0,2022,12,1
60,^GSPC,3853.2900390625,4094.2099609375,3794.330078125,4076.60009765625,80763810000,0,0,2023,1,1
61,^GSPC,4070.070068359375,4195.43994140625,3943.080078125,3970.14990234375,80392280000,0,0,2023,2,1
62,^GSPC,3963.340087890625,4110.75,3808.860107421875,4109.31005859375,113094800000,0,0,2023,3,1
